1	0	0	0	0	0	0	0	0	0	0	0	0
0.066587	0.93341	0	0	0	0	0	0	0	0	0	0	0
0.037116	0.0010604	0.95864	0.0010604	0	0	0.0021209	0	0	0	0	0	0
0.028754	0	0	0.97125	0	0	0	0	0	0	0	0	0
0.04698	0	0	0	0.95078	0	0	0	0.0022371	0	0	0	0
0.10986	0.0014085	0	0	0	0.88732	0	0	0	0.0014085	0	0	0
0.31812	0.0013423	0.0026846	0.0026846	0.0026846	0	0.66443	0.0026846	0.0013423	0.0013423	0	0.0013423	0.0013423
0.062642	0	0.0022779	0	0	0.001139	0.0045558	0.92938	0	0	0	0	0
0.080626	0	0	0.0012034	0	0	0.0024067	0	0.91456	0	0	0.0012034	0
0.13797	0.0023585	0	0.0035377	0.0011792	0.0035377	0.0035377	0.0023585	0.0011792	0.83608	0.0070755	0	0.0011792
0.028058	0.0022447	0.0022447	0	0.0011223	0.003367	0.003367	0.0011223	0	0.0022447	0.95398	0	0.0022447
0.036585	0.0011086	0.0033259	0.0011086	0.0011086	0	0.0011086	0.0044346	0	0.0044346	0	0.94568	0.0011086
0.040248	0.001032	0	0	0	0	0	0	0	0	0	0	0.95872
