0.999	0.001	0	0	0	0	0	0	0	0	0	0	0
0.059	0.911	0	0	0	0	0	0	0	0	0	0	0
0.037	0.001	0.941	0.001	0	0	0.002	0	0	0	0	0	0
0.029	0.001	0	0.96	0	0	0	0	0	0	0	0	0
0.044	0	0	0	0.926	0	0	0	0.002	0	0	0	0
0.08	0.001	0	0	0	0.841	0	0	0	0.001	0	0	0
0.252	0.001	0.002	0.002	0.002	0.001	0.525	0.002	0.001	0.001	0	0.003	0.001
0.058	0	0.002	0	0	0.001	0.004	0.887	0	0	0	0	0
0.071	0	0	0.001	0	0	0.002	0	0.861	0	0	0.001	0
0.126	0.002	0	0.003	0.001	0.004	0.003	0.002	0.001	0.722	0.006	0	0.001
0.027	0.003	0.002	0	0.001	0.003	0.003	0.002	0	0.002	0.897	0	0.002
0.037	0.002	0.003	0.001	0.001	0.001	0.001	0.004	0	0.004	0	0.897	0.001
0.043	0.001	0	0	0	0	0	0	0	0.001	0	0	0.929
