0.942	0	0	0	0	0	0	0	0	0	0	0	0
0.056	0.785	0	0	0	0	0	0	0	0	0	0	0
0.035	0.001	0.904	0.001	0	0	0.002	0	0	0	0	0	0
0.027	0	0	0.912	0	0	0	0	0	0	0	0	0
0.042	0	0	0	0.85	0	0	0	0.002	0	0	0	0
0.078	0.001	0	0	0	0.63	0	0	0	0.001	0	0	0
0.237	0.001	0.002	0.002	0.002	0	0.495	0.002	0.001	0.001	0	0.001	0.001
0.055	0	0.002	0	0	0.001	0.004	0.816	0	0	0	0	0
0.067	0	0	0.001	0	0	0.002	0	0.76	0	0	0.001	0
0.117	0.002	0	0.003	0.001	0.003	0.003	0.002	0.001	0.709	0.006	0	0.001
0.025	0.002	0.002	0	0.001	0.003	0.003	0.001	0	0.002	0.85	0	0.002
0.033	0.001	0.003	0.001	0.001	0	0.001	0.004	0	0.004	0	0.853	0.001
0.039	0.001	0	0	0	0	0	0	0	0	0	0	0.929
