0.999	0.001	0	0	0	0	0	0	0	0	0	0	0
0.060825	0.93918	0	0	0	0	0	0	0	0	0	0	0
0.037678	0.0010183	0.95825	0.0010183	0	0	0.0020367	0	0	0	0	0	0
0.029293	0.0010101	0	0.9697	0	0	0	0	0	0	0	0	0
0.045267	0	0	0	0.95267	0	0	0	0.0020576	0	0	0	0
0.086674	0.0010834	0	0	0	0.91116	0	0	0	0.0010834	0	0	0
0.31778	0.001261	0.0025221	0.0025221	0.0025221	0.001261	0.66204	0.0025221	0.001261	0.001261	0	0.0037831	0.001261
0.060924	0	0.0021008	0	0	0.0010504	0.0042017	0.93172	0	0	0	0	0
0.075855	0	0	0.0010684	0	0	0.0021368	0	0.91987	0	0	0.0010684	0
0.14466	0.0022962	0	0.0034443	0.0011481	0.0045924	0.0034443	0.0022962	0.0011481	0.82893	0.0068886	0	0.0011481
0.028662	0.0031847	0.0021231	0	0.0010616	0.0031847	0.0031847	0.0021231	0	0.0021231	0.95223	0	0.0021231
0.038866	0.0021008	0.0031513	0.0010504	0.0010504	0.0010504	0.0010504	0.0042017	0	0.0042017	0	0.94223	0.0010504
0.044148	0.0010267	0	0	0	0	0	0	0	0.0010267	0	0	0.9538
